ID,departmentCode,name,createdAt,createdBy,modifiedAt,modifiedBy
30580602-622f-4a0a-bd08-b7e65d76e9cc,e-30580602,name-30580602,2022-08-20T00:00:00.000Z,createdBy.i7g56@example.net,2003-11-28T00:00:00.000Z,modifiedBy.i7g56@example.net
30572399-1aee-44fb-b609-61b3d90b9bbc,e-30572399,name-30572399,2004-08-30T00:00:00.000Z,createdBy.i79tb@example.org,2018-04-03T00:00:00.000Z,modifiedBy.i79tb@example.org
30572400-7427-4a8d-af6d-ed34d61f8f55,e-30572400,name-30572400,2011-07-17T00:00:00.000Z,createdBy.i79tc@example.net,2020-10-06T00:00:00.000Z,modifiedBy.i79tc@example.com
30572401-63a7-46b2-a619-684d31417036,e-30572401,name-30572401,2023-08-08T00:00:00.000Z,createdBy.i79td@example.org,2022-04-28T00:00:00.000Z,modifiedBy.i79td@example.com
30572402-6f78-450f-becd-31e504050ff4,e-30572402,name-30572402,2021-09-12T00:00:00.000Z,createdBy.i79te@example.com,2017-04-06T00:00:00.000Z,modifiedBy.i79te@example.com
30572403-d3ac-4bde-b66b-a51e704e7bd7,e-30572403,name-30572403,2022-06-30T00:00:00.000Z,createdBy.i79tf@example.org,2015-06-13T00:00:00.000Z,modifiedBy.i79tf@example.com
30572404-f9a6-4085-8a10-9f1a7fc06b70,e-30572404,name-30572404,2022-09-22T00:00:00.000Z,createdBy.i79tg@example.com,2009-01-07T00:00:00.000Z,modifiedBy.i79tg@example.net
30572405-7e81-4648-8f80-2c7640a0ace4,e-30572405,name-30572405,2004-04-18T00:00:00.000Z,createdBy.i79th@example.com,2017-09-09T00:00:00.000Z,modifiedBy.i79th@example.org
30572406-806c-4530-910e-249c3db56aea,e-30572406,name-30572406,2020-09-16T00:00:00.000Z,createdBy.i79ti@example.net,2008-11-02T00:00:00.000Z,modifiedBy.i79ti@example.net
30572407-5fac-43d0-96e9-79259d0f134b,e-30572407,name-30572407,2008-03-14T00:00:00.000Z,createdBy.i79tj@example.net,2001-03-25T00:00:00.000Z,modifiedBy.i79tj@example.net
