ID,employee_ID,skill_ID,level,createdAt,createdBy,modifiedAt,modifiedBy
26179716-8ba1-451b-a4e1-a0211ce5e52c,30634427-7bd3-4cdf-9e9e-75fe03e73703,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2015-03-29T00:00:00.000Z,createdBy.fl4ec@example.org,2014-03-11T00:00:00.000Z,modifiedBy.fl4ec@example.org
26179717-c766-49f0-96fb-aebbcb032a78,30634427-7bd3-4cdf-9e9e-75fe03e73703,27620296-cc5b-48f5-a238-d6abcf53f8b5,ADVANCED,2017-07-07T00:00:00.000Z,createdBy.fl4ed@example.com,2017-05-27T00:00:00.000Z,modifiedBy.fl4ed@example.net
25188407-6357-4a66-b022-8ed0086dbb7a,30634428-5d6f-46b6-bed2-6af7c0b4689d,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2023-08-20T00:00:00.000Z,createdBy.ezvhz@example.org,2013-03-25T00:00:00.000Z,modifiedBy.ezvhz@example.com
25188408-b985-4e56-a774-437cfafb3807,30634428-5d6f-46b6-bed2-6af7c0b4689d,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2014-10-11T00:00:00.000Z,createdBy.ezvi0@example.org,2012-10-22T00:00:00.000Z,modifiedBy.ezvi0@example.net
23410516-d74b-4eca-b5f3-8873f0b69173,30634429-64ce-426b-a5d9-428f877efbd7,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2004-01-01T00:00:00.000Z,createdBy.dxro4@example.com,2023-07-27T00:00:00.000Z,modifiedBy.dxro4@example.org
23410517-a7d9-4289-aa45-01868416490d,30634429-64ce-426b-a5d9-428f877efbd7,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2004-06-22T00:00:00.000Z,createdBy.dxro5@example.com,2003-08-09T00:00:00.000Z,modifiedBy.dxro5@example.net
23852635-da51-4691-93b8-32be6b988d2e,30634430-590b-400c-9731-1c96e34970ca,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2000-05-21T00:00:00.000Z,createdBy.e78t7@example.net,2013-01-05T00:00:00.000Z,modifiedBy.e78t7@example.net
23852636-4f12-471b-8551-8ac21e725aad,30634430-590b-400c-9731-1c96e34970ca,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2023-11-24T00:00:00.000Z,createdBy.e78t8@example.net,2010-11-24T00:00:00.000Z,modifiedBy.e78t8@example.net
29223664-2862-4fc8-8f3f-960b9b3b44d7,30634431-9f1a-4bf5-a6d6-6ca37e0ce1f7,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2008-02-21T00:00:00.000Z,createdBy.hed4g@example.org,2005-04-06T00:00:00.000Z,modifiedBy.hed4g@example.com
29223665-63b2-4b04-ab62-318cf5837fc4,30634431-9f1a-4bf5-a6d6-6ca37e0ce1f7,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2007-01-23T00:00:00.000Z,createdBy.hed4h@example.com,2016-08-31T00:00:00.000Z,modifiedBy.hed4h@example.com
28672096-abe0-437c-89c3-f5431e2f0653,30634432-18c6-4b5f-9f56-29fe3c09a5d0,27620296-cc5b-48f5-a238-d6abcf53f8b5,ADVANCED,2007-12-09T00:00:00.000Z,createdBy.h2jj4@example.com,2001-10-14T00:00:00.000Z,modifiedBy.h2jj4@example.net
28672097-3b98-43eb-ad57-93de1479a4fb,30634432-18c6-4b5f-9f56-29fe3c09a5d0,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2017-04-23T00:00:00.000Z,createdBy.h2jj5@example.com,2006-04-04T00:00:00.000Z,modifiedBy.h2jj5@example.org
95275320-b0b1-4491-b459-5372721eae43,30634433-97d3-4c57-b4b5-7a472af9795e,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2020-11-12T00:00:00.000Z,createdBy.5o7ho@example.net,2021-09-30T00:00:00.000Z,modifiedBy.5o7ho@example.com
95275336-415c-4d6a-ab12-8dc116f0936b,30634433-97d3-4c57-b4b5-7a472af9795e,27620296-cc5b-48f5-a238-d6abcf53f8b5,ADVANCED,2017-06-22T00:00:00.000Z,createdBy.5o7hp@example.net,2001-10-27T00:00:00.000Z,modifiedBy.5o7hp@example.net
16857020-7672-4cfa-b362-10b9a5d7958c,30634434-f54b-455e-811d-c90239d8cb17,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2021-01-10T00:00:00.000Z,createdBy.a1ayk@example.net,2007-06-13T00:00:00.000Z,modifiedBy.a1ayk@example.com
16857021-0eb9-4219-addf-c16d0f61226b,30634434-f54b-455e-811d-c90239d8cb17,27620296-cc5b-48f5-a238-d6abcf53f8b5,ADVANCED,2005-09-11T00:00:00.000Z,createdBy.a1ayl@example.net,2010-01-15T00:00:00.000Z,modifiedBy.a1ayl@example.net
95472114-022f-4142-8971-00c6c4e23e70,30634435-76a5-4234-b221-454926c8d185,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2009-09-04T00:00:00.000Z,createdBy.5omob@example.com,2011-12-16T00:00:00.000Z,modifiedBy.5omob@example.org
95472123-a78c-4a76-bec0-6b88f086bbab,30634435-76a5-4234-b221-454926c8d185,27620296-cc5b-48f5-a238-d6abcf53f8b5,BEGINNER,2006-08-29T00:00:00.000Z,createdBy.5omoc@example.org,2011-03-28T00:00:00.000Z,modifiedBy.5omoc@example.com
2082296c-c638-4baf-bac6-56fc51807f62,30634436-bfe9-45b9-911a-c0e13ca747d4,27620296-cc5b-48f5-a238-d6abcf53f8b5,INTERMEDIATE,2013-07-27T00:00:00.000Z,createdBy.18mpk@example.net,2009-06-30T00:00:00.000Z,modifiedBy.18mpk@example.org
